 Nom Ville ;MAJ   ; Code Postal ; Code INSEE ;Code Région; Latitude ; Longitude ; Eloignement ;
 Marcilly-en-Beauce ;MARCILLY EN BEAUCE ;41100;41124;24;47.766667;1;1.29;
 Villeporcher ;VILLEPORCHER   ;41310;41286;24;47.633333;1;1.23;
 Villiers-sur-Loir ;VILLIERS SUR LOIR ;41100;41294;24;47.8;1;1.27;
 Tournon-d'Agenais ;TOURNON D AGENAIS ;47370;47312;72;44.4;1;2.31;
 Ambrumesnil ;AMBRUMESNIL   ;76550;76004;23;49.866667;1;1.74;
 Bacqueville-en-Caux ;BACQUEVILLE EN CAUX ;76730;76051;23;49.783333;1;0.87;
 Bertrimont ;BERTRIMONT   ;76890;76086;23;49.666667;1;0.52;
 Elbeuf ;ELBEUF   ;76500;76231;23;49.283333;1;2.95;
 Grand-Couronne ;GRAND COURONNE  ;76530;76319;23;49.35;1;2.45;
 Gueutteville ;GUEUTTEVILLE   ;76890;76335;23;49.65;1;0.71;
 Lamberville ;LAMBERVILLE   ;76730;76379;23;49.766667;1;0.99;
 Montigny ;MONTIGNY   ;76380;76446;23;49.466667;1;1.57;
 Pissy-Pôville ;PISSY POVILLE  ;76360;76503;23;49.533333;1;1.66;
 Val-de-la-Haye ;VAL DE LA HAYE;76380;76717;23;49.383333;1;2.2;
 Caumont ;CAUMONT   ;82210;82035;11;44.016667;1;0.88;
 Fauroux ;FAUROUX   ;82190;82060;11;44.25;1;1.56;
 Saint-Arroumex ;SAINT ARROUMEX  ;82210;82156;11;44;1;0.88;
 Bourg-Archambault ;BOURG ARCHAMBAULT  ;86390;86035;11;46.383333;1;2.6;
 Saint-Léomer ;SAINT LEOMER  ;86290;86230;11;46.433333;1;2.6;
 Pagéas ;PAGEAS   ;87230;87112;72;45.683333;1;1.15;
 Saint-Victurnien ;SAINT VICTURNIEN  ;87420;87185;72;45.883333;1;1.11;
 La Cassaigne ;LA CASSAIGNE  ;11270;11072;91;43.2;2;1.2;
 Chalabre ;CHALABRE   ;11230;11091;91;42.983333;2;1.2;
 Escueillens ;ESCUEILLENS   ;11240;11128;91;43.1;2;1.2;
 Gueytes-et-Labastide ;GUEYTES ET LABASTIDE ;11230;11171;91;43.066667;2;1.2;
 Hounoux ;HOUNOUX   ;11240;11173;91;43.116667;2;1.2;
 Labécède-Lauragais ;LABECEDE LAURAGAIS  ;11400;11181;91;43.383333;2;1.83;
 Niort-de-Sault ;NIORT DE SAULT ;11140;11265;91;42.8;2;2.18;
 Roquefeuil ;ROQUEFEUIL   ;11340;11320;91;42.816667;2;2.07;
 Foissac ;FOISSAC   ;12260;12104;73;44.516667;2;2.14;
 Toulonjac ;TOULONJAC   ;12200;12281;73;44.383333;2;2.14;
 Massay ;MASSAY   ;18120;18140;24;47.15;2;2.28;
 Ajain ;AJAIN   ;23380;23002;74;46.2;2;1;
 La Cellette ;LA CELLETTE  ;23350;23041;74;46.4;2;1.99;
 Genouillac ;GENOUILLAC   ;23350;23089;74;46.35;2;1.66;
 Saint-Marc-à-Loubaud ;SAINT MARC A LOUBAUD;23460;23212;74;45.85;2;1.63;
 Revel ;REVEL   ;31250;31451;72;43.466667;2;2.53;
 Issoudun ;ISSOUDUN   ;36100;36088;24;46.95;2;1.53;
 Pouligny-Saint-Martin ;POULIGNY SAINT MARTIN ;36160;36164;24;46.516667;2;1.57;
 Aschères-le-Marché ;ASCHERES LE MARCHE ;45170;45009;24;48.1;2;1.02;
 Cardaillac ;CARDAILLAC   ;46100;46057;73;44.683333;2;1.55;
 Comiac ;COMIAC   ;46190;46071;73;44.933333;2;1.92;
 Fourmagnac ;FOURMAGNAC   ;46100;46111;73;44.65;2;1.55;
 Labathude ;LABATHUDE   ;46120;46139;73;44.75;2;1.55;
 Lacam-d'Ourcet ;LACAM D OURCET ;46190;46141;73;44.85;2;1.55;
 Terrou ;TERROU   ;46120;46314;73;44.783333;2;1.55;
 Auneuil ;AUNEUIL   ;60390;60029;22;49.366667;2;1.2;
 Beaumont-les-Nonains ;BEAUMONT LES NONAINS ;60390;60054;22;49.333333;2;1.2;
 Chavençon ;CHAVENCON   ;60240;60144;22;49.183333;2;1.75;
 Dargies ;DARGIES   ;60210;60194;22;49.7;2;1.98;
 Fresneaux-Montchevreuil ;FRESNEAUX MONTCHEVREUIL  ;60240;60256;22;49.283333;2;1.43;
 Haute-Épine ;HAUTE EPINE  ;60690;60304;22;49.583333;2;1.2;
 Milly-sur-Thérain ;MILLY SUR THERAIN ;60112;60403;22;49.5;2;1.2;
 Le Mont-Saint-Adrien ;LE MONT SAINT ADRIEN;60650;60428;22;49.45;2;1.48;
 La Neuville-sur-Oudeuil ;LA NEUVILLE SUR OUDEUIL;60690;60458;22;49.583333;2;1.2;
 Prévillers ;PREVILLERS   ;60360;60514;22;49.6;2;1.91;
 Rainvillers ;RAINVILLERS   ;60650;60523;22;49.416667;2;1.64;
 Rothois ;ROTHOIS   ;60690;60550;22;49.6;2;1.26;
 Saint-Omer-en-Chaussée ;SAINT OMER EN CHAUSSEE;60860;60590;22;49.533333;2;1.2;
 Saint-Paul ;SAINT PAUL  ;60650;60591;22;49.433333;2;1.54;
 Senots ;SENOTS   ;60240;60613;22;49.266667;2;1.37;
 Sommereux ;SOMMEREUX   ;60210;60622;22;49.683333;2;1.86;
 Aix-en-Ergny ;AIX EN ERGNY ;62650;62017;31;50.583333;2;1.32;
 Alquines ;ALQUINES   ;62850;62024;31;50.75;2;1.9;
 Capelle-lès Hesdin ;CAPELLE LES HESDIN ;62140;62212;31;50.333333;2;0.94;
 Cavron-Saint-Martin ;CAVRON SAINT MARTIN ;62140;62220;31;50.416667;2;1.18;
 Clerques ;CLERQUES   ;62890;62228;31;50.8;2;1.97;
 Coulomby ;COULOMBY   ;62380;62245;31;50.7;2;1.38;
 Guemps ;GUEMPS   ;62370;62393;31;50.916667;2;2.64;
 Guigny ;GUIGNY   ;62140;62395;31;50.333333;2;0.94;
 Guisy ;GUISY   ;62140;62398;31;50.383333;2;0.94;
 Louches ;LOUCHES   ;62610;62531;31;50.833333;2;2.16;
 Royon ;ROYON   ;62990;62725;31;50.466667;2;1.4;
 Targassonne ;TARGASSONNE   ;66120;66202;91;42.5;2;2.15;
 Bullion ;BULLION   ;78830;78120;11;48.616667;2;2.26;
 Médan ;MEDAN   ;78670;78384;11;48.95;2;1.02;
 Saint-Forget ;SAINT FORGET  ;78720;78548;11;48.7;2;1.47;
 Trappes ;TRAPPES   ;78190;78621;11;48.783333;2;1.02;
 Triel-sur-Seine ;TRIEL SUR SEINE ;78510;78624;11;48.983333;2;1.23;
 Villennes-sur-Seine ;VILLENNES SUR SEINE ;78670;78672;11;48.95;2;1.02;
 Ailly-le-Haut-Clocher ;AILLY LE HAUT CLOCHER;80690;80009;11;50.083333;2;1.07;
 Blangy-sous-Poix ;BLANGY SOUS POIX ;80290;80106;11;49.766667;2;1.26;
 Bussus-Bussuel ;BUSSUS BUSSUEL  ;80135;80155;11;50.1;2;1.2;
 Coulonvillers ;COULONVILLERS   ;80135;80215;11;50.133333;2;1.44;
 Fricamps ;FRICAMPS   ;80290;80365;11;49.816667;2;1.22;
 Gueschart ;GUESCHART   ;80150;80396;11;50.233333;2;2.18;
 Guizancourt ;GUIZANCOURT   ;80290;80402;11;49.733333;2;1.51;
 Yvrench ;YVRENCH   ;80150;80832;11;50.183333;2;1.81;
 Blan ;BLAN   ;81700;81032;11;43.533333;2;1.53;
 Graulhet ;GRAULHET   ;81300;81105;11;43.766667;2;0.58;
 Lacapelle-Ségalar ;LACAPELLE SEGALAR  ;81170;81123;11;44.116667;2;1.85;
 Lagrave ;LAGRAVE   ;81150;81131;11;43.9;2;1.03;
 Missècle ;MISSECLE   ;81300;81169;11;43.716667;2;1.25;
 Palleville ;PALLEVILLE   ;81700;81200;11;43.5;2;1.72;
 Angerville ;ANGERVILLE   ;91670;91016;82;48.316667;2;2.42;
 Mérobert ;MEROBERT   ;91780;91393;82;48.416667;2;2.12;
 Plessis-Saint-Benoist ;PLESSIS SAINT BENOIST ;91410;91495;82;48.433333;2;2.12;
 Pussay ;PUSSAY   ;91740;91511;82;48.35;2;2.12;
 Richarville ;RICHARVILLE   ;91410;91519;82;48.466667;2;2.12;
 Boisemont ;BOISEMONT   ;95000;95074;11;49.016667;2;1.45;
 Courcelles-sur-Viosne ;COURCELLES SUR VIOSNE ;95650;95181;11;49.083333;2;0.97;
 Courdimanche ;COURDIMANCHE   ;95800;95183;11;49.033333;2;0.84;
 Frémécourt ;FREMECOURT   ;95830;95254;11;49.116667;2;1;
 Le Heaulme ;LE HEAULME  ;95640;95303;11;49.166667;2;1.82;
 Montgeroult ;MONTGEROULT   ;95650;95422;11;49.083333;2;0.97;
 Chouvigny ;CHOUVIGNY   ;3450;3078;83;46.133333;3;1.53;
 Lalizolle ;LALIZOLLE   ;3450;3135;83;46.15;3;1.42;
 Pouzy-Mésangy ;POUZY MESANGY  ;3320;3210;83;46.716667;3;2.49;
 Cuxac-d'Aude ;CUXAC D AUDE ;11590;11116;91;43.25;3;2.55;
 Narbonne ;NARBONNE   ;11100;11262;91;43.183333;3;2.55;
 Lavernhe ;LAVERNHE   ;12150;12126;73;44.316667;3;1.31;
 Saint-Jean-et-Saint-Paul ;SAINT JEAN ET SAINT;12250;12232;73;43.933333;3;1.65;
 Chaudes-Aigues ;CHAUDES AIGUES  ;15110;15045;83;44.85;3;1.3;
 Tanavelle ;TANAVELLE   ;15100;15232;83;45.016667;3;1.3;
 Véze ;VEZE   ;15160;15256;83;45.266667;3;1.7;
 Argenvières ;ARGENVIERES   ;18140;18012;24;47.133333;3;2.08;
 Jouet-sur-l'Aubois ;JOUET SUR L AUBOIS;18320;18118;24;47.05;3;2.08;
 Saint-Léger-le-Petit ;SAINT LEGER LE PETIT;18140;18220;24;47.116667;3;2.08;
 Rosis ;ROSIS   ;34610;34235;91;43.616667;3;1.38;
 Saint-Geniès-de-Varensal ;SAINT GENIES DE VARENSAL;34610;34257;91;43.666667;3;1.38;
 Plaisance ;PLAISANCE   ;34610;34927;91;43.666667;3;-1;
 Le Charme ;LE CHARME  ;45230;45079;24;47.8;3;2.1;
 Mesves-sur-Loire ;MESVES SUR LOIRE ;58400;58164;26;47.25;3;2.04;
 Pougny ;POUGNY   ;58200;58213;26;47.383333;3;2.04;
 Saint-Loup ;SAINT LOUP  ;58200;58251;26;47.45;3;2.04;
 Doignies ;DOIGNIES   ;62147;59176;31;50.116667;3;1.35;
 Emmerin ;EMMERIN   ;59320;59193;31;50.6;3;1.57;
 Houplin-Ancoisne ;HOUPLIN ANCOISNE  ;59263;59316;31;50.566667;3;0.62;
 Lompret ;LOMPRET   ;59840;59356;31;50.666667;3;1.39;
 Quesnoy-sur-Deûle ;QUESNOY SUR DEULE ;59890;59482;31;50.716667;3;1.26;
 Verlinghem ;VERLINGHEM   ;59237;59611;31;50.683333;3;1.11;
 Bonneuil-en-Valois ;BONNEUIL EN VALOIS ;60123;60083;22;49.283333;3;1.68;
 Fréniches ;FRENICHES   ;60640;60255;22;49.666667;3;1.74;
 Muirancourt ;MUIRANCOURT   ;60640;60443;22;49.65;3;1.68;
 Noyon ;NOYON   ;60400;60471;22;49.583333;3;1.68;
 Rosoy-en-Multien ;ROSOY EN MULTIEN ;60620;60548;22;49.083333;3;2.48;
 Sempigny ;SEMPIGNY   ;60400;60610;22;49.55;3;1.68;
 Tracy-le-Mont ;TRACY LE MONT ;60170;60641;22;49.466667;3;1.68;
 Vez ;VEZ   ;60117;60672;22;49.266667;3;1.68;
 Cagnicourt ;CAGNICOURT   ;62182;62192;31;50.216667;3;1.9;
 Étaing ;ETAING   ;62156;62317;31;50.266667;3;1.9;
 Pronville ;PRONVILLE   ;62860;62671;31;50.166667;3;1.9;
 Sailly-en-Ostrevent ;SAILLY EN OSTREVENT ;62490;62734;31;50.283333;3;1.9;
 Ytres ;YTRES   ;62124;62909;31;50.066667;3;2.3;
 Charbonnières-les-Vieilles ;CHARBONNIERES LES VIEILLES ;63410;63093;83;46;3;1.52;
 Saint-Alyre-ès-Montagne ;SAINT ALYRE ES MONTAGNE;63420;63313;83;45.4;3;1.87;
 Saint-Nectaire ;SAINT NECTAIRE  ;63710;63380;83;45.6;3;1;
 Valbeleix ;VALBELEIX   ;63610;63440;83;45.466667;3;1.5;
 Latour-Bas-Elne ;LATOUR BAS ELNE ;66200;66094;91;42.616667;3;1.77;
 Saint-Cyprien ;SAINT CYPRIEN  ;66750;66171;91;42.616667;3;1.77;
 Coutençon ;COUTENCON   ;77154;77140;11;48.466667;3;1;
 Faremoutiers ;FAREMOUTIERS   ;77515;77176;11;48.8;3;0.65;
 Fontains ;FONTAINS   ;77370;77190;11;48.533333;3;0.98;
 La Haute-Maison ;LA HAUTE MAISON ;77580;77225;11;48.883333;3;1.14;
 Maisoncelles-en-Brie ;MAISONCELLES EN BRIE ;77580;77270;11;48.866667;3;1.14;
 Nangis ;NANGIS   ;77370;77327;11;48.55;3;0.87;
 Le Plessis-Placy ;LE PLESSIS PLACY ;77440;77367;11;49.066667;3;1.88;
 Saint-Germain-Laval ;SAINT GERMAIN LAVAL ;77130;77409;11;48.4;3;1.19;
 Voinsles ;VOINSLES   ;77540;77527;11;48.683333;3;0.7;
 Devise ;DEVISE   ;80200;80239;11;49.866667;3;1.84;
 Driencourt ;DRIENCOURT   ;80240;80258;11;49.95;3;1.84;
 Matigny ;MATIGNY   ;80400;80519;11;49.8;3;1.84;
 Chéroy ;CHEROY   ;89690;89100;11;48.2;3;2.13;
 Saint-Privé ;SAINT PRIVE  ;89220;89365;11;47.683333;3;-1;
 Bertricourt ;BERTRICOURT   ;2190;2076;22;49.383333;4;2.06;
 Chaourse ;CHAOURSE   ;2340;2160;22;49.7;4;2.06;
 Effry ;EFFRY   ;2500;2275;22;49.933333;4;2.06;
 Menneville ;MENNEVILLE   ;2190;2475;22;49.416667;4;2.06;
 Nampcelles-la-Cour ;NAMPCELLES LA COUR ;2140;2535;22;49.783333;4;2.06;
 Proviseux-et-Plesnoy ;PROVISEUX ET PLESNOY ;2190;2627;22;49.466667;4;2.06;
 La Selve ;LA SELVE  ;2150;2705;22;49.566667;4;2.06;
 Wimy ;WIMY   ;2500;2833;22;49.933333;4;2.06;
 Issanlas ;ISSANLAS   ;7510;7105;82;44.75;4;2.23;
 Lachapelle-Graillouse ;LACHAPELLE GRAILLOUSE  ;7470;7121;82;44.816667;4;2.23;
 Lanarce ;LANARCE   ;7660;7130;82;44.733333;4;2.23;
 Montselgues ;MONTSELGUES   ;7140;7163;82;44.516667;4;2.23;
 Avreuil ;AVREUIL   ;10130;10024;21;48.05;4;1.77;
 Bouilly ;BOUILLY   ;10320;10051;21;48.2;4;1.37;
 Javernant ;JAVERNANT   ;10320;10177;21;48.166667;4;0.96;
 Rhèges ;RHEGES   ;10170;10316;21;48.55;4;1.72;
 Saint-Lyé ;SAINT LYE  ;10600;10349;21;48.366667;4;0.64;
 Saint-Phal ;SAINT PHAL  ;10130;10359;21;48.116667;4;1.56;
 Salon ;SALON   ;10700;10365;21;48.633333;4;2.31;
 Souligny ;SOULIGNY   ;10320;10373;21;48.2;4;1.37;
 Lépine ;LEPINE   ;10120;10913;21;48.266667;4;0.82;
 Boisset-et-Gaujac ;BOISSET ET GAUJAC ;30140;30042;91;44.05;4;0.79;
 Chambon ;CHAMBON   ;30450;30079;91;44.3;4;2.07;
 Quissac ;QUISSAC   ;30260;30210;91;43.916667;4;0.9;
 Sénéchas ;SENECHAS   ;30450;30316;91;44.316667;4;2.19;
 Soustelle ;SOUSTELLE   ;30110;30323;91;44.183333;4;1.21;
 Buzignargues ;BUZIGNARGUES   ;34160;34043;91;43.766667;4;1.85;
 Saint-Jean-de-Cornies ;SAINT JEAN DE CORNIES;34160;34265;91;43.733333;4;1.85;
 Sussargues ;SUSSARGUES   ;34160;34307;91;43.7;4;1.85;
 Apinac ;APINAC   ;42550;42006;82;45.383333;4;1.55;
 Bully ;BULLY   ;42260;42027;82;45.933333;4;1.27;
 Châtelneuf ;CHATELNEUF   ;42940;42054;82;45.633333;4;1.01;
 Chazelles-sur-Lavieu ;CHAZELLES SUR LAVIEU ;42560;42058;82;45.533333;4;1.32;
 Essertines-en-Châtelneuf ;ESSERTINES EN CHATELNEUF ;42600;42089;82;45.616667;4;1.01;
 Montarcher ;MONTARCHER   ;42380;42146;82;45.45;4;1.29;
 Nollieux ;NOLLIEUX   ;42260;42160;82;45.816667;4;1.01;
 Saint-Julien-d'Oddes ;SAINT JULIEN D ODDES;42260;42243;82;45.85;4;1.01;
 Saint-Léger-sur-Roanne ;SAINT LEGER SUR ROANNE;42155;42253;82;46.033333;4;1.49;
 Souternon ;SOUTERNON   ;42260;42303;82;45.866667;4;1.01;
 Verrières-en-Forez ;VERRIERES EN FOREZ ;42600;42328;82;45.566667;4;1.2;
 Lantriac ;LANTRIAC   ;43260;43113;72;45;4;1.44;
 Mézères ;MEZERES   ;43800;43134;72;45.15;4;0.94;
 Saint-André-de-Chalençon ;SAINT ANDRE DE CHALENCON;43130;43166;72;45.283333;4;1.1;
 Saint-Étienne-Lardeyrol ;SAINT ETIENNE LARDEYROL ;43260;43181;72;45.066667;4;1.33;
 Solignac-sous-Roche ;SOLIGNAC SOUS ROCHE ;43130;43240;72;45.25;4;0.94;
 Ay ;AY   ;51160;51030;21;49.05;4;0.75;
 Bergères-lès-Vertus ;BERGERES LES VERTUS ;51130;51049;21;48.883333;4;0.52;
 Courcy ;COURCY   ;51220;51183;21;49.316667;4;1.89;
 Vertus ;VERTUS   ;51130;51612;21;48.9;4;0.52;
 Dun-les-Places ;DUN LES PLACES ;58230;58106;26;47.283333;4;2.22;
 Larochemillay ;LAROCHEMILLAY   ;58370;58140;26;46.883333;4;2.22;
 Bersillies ;BERSILLIES   ;59600;59072;31;50.316667;4;1.92;
 Ferrière-la-Grande ;FERRIERE LA GRANDE ;59680;59230;31;50.25;4;1.92;
 Rainsars ;RAINSARS   ;59177;59490;31;50.066667;4;1.92;
 Rousies ;ROUSIES   ;59131;59514;31;50.266667;4;1.92;
 Sains-du-Nord ;SAINS DU NORD ;59177;59525;31;50.1;4;1.92;
 Sémeries ;SEMERIES   ;59440;59562;31;50.116667;4;1.92;
 Wignehies ;WIGNEHIES   ;59212;59659;31;50.016667;4;1.92;
 Artaix ;ARTAIX   ;71110;71012;26;46.25;4;2.1;
 Civry-sur-Serein ;CIVRY SUR SEREIN ;89440;89110;11;47.6;4;1.46;
 L'Isle-sur-Serein ;L ISLE SUR SEREIN;89440;89204;11;47.583333;4;1.46;
 Noyers ;NOYERS   ;89310;89279;11;47.7;4;1.46;
 Saint-Brancher ;SAINT BRANCHER  ;89630;89336;11;47.433333;4;2.09;
 Beynost ;BEYNOST   ;1700;1043;82;45.833333;5;1.51;
 Boissey ;BOISSEY   ;1190;1050;82;46.383333;5;1.81;
 Bouligneux ;BOULIGNEUX   ;1330;1052;82;46.016667;5;1.17;
 Chavannes-sur-Reyssouze ;CHAVANNES SUR REYSSOUZE ;1190;1094;82;46.433333;5;2.11;
 Neuville-les-Dames ;NEUVILLE LES DAMES ;1400;1272;82;46.166667;5;1.17;
 Saint-Étienne-sur-Reyssouze ;SAINT ETIENNE SUR REYSSOUZE;1190;1352;82;46.4;5;1.91;
 Vonnas ;VONNAS   ;1540;1457;82;46.216667;5;1.17;
 Apremont ;APREMONT   ;8250;8017;21;49.266667;5;2.27;
 Daigny ;DAIGNY   ;8140;8136;21;49.716667;5;1.48;
 Exermont ;EXERMONT   ;8250;8161;21;49.3;5;2.05;
 Fossé ;FOSSE   ;8240;8176;21;49.45;5;1.48;
 La Moncelle ;LA MONCELLE  ;8140;8294;21;49.683333;5;1.48;
 Remilly-Aillicourt ;REMILLY AILLICOURT  ;8450;8357;21;49.65;5;1.49;
 Miramas ;MIRAMAS   ;13140;13063;93;43.583333;5;1.05;
 Plan-d'Orgon ;PLAN D ORGON ;13750;13076;93;43.8;5;1.87;
 Argilly ;ARGILLY   ;21700;21022;26;47.066667;5;1.51;
 Boncourt-le-Bois ;BONCOURT LE BOIS ;21700;21088;26;47.133333;5;1.18;
 Chenôve ;CHENOVE   ;21300;21166;26;47.283333;5;0.72;
 Corgengoux ;CORGENGOUX   ;21250;21193;26;46.983333;5;2.11;
 Courlon ;COURLON   ;21580;21207;26;47.65;5;1.36;
 Daix ;DAIX   ;21121;21223;26;47.35;5;0.91;
 Gerland ;GERLAND   ;21700;21294;26;47.1;5;1.34;
 Hauteville-lès-Dijon ;HAUTEVILLE LES DIJON ;21121;21315;26;47.366667;5;0.72;
 Neuvelle-lès-Grancey ;NEUVELLE LES GRANCEY ;21580;21453;26;47.683333;5;1.53;
 Perrigny-lès-Dijon ;PERRIGNY LES DIJON ;21160;21481;26;47.266667;5;1.13;
 Poiseul-lès-Saulx ;POISEUL LES SAULX ;21120;21491;26;47.566667;5;0.95;
 Talant ;TALANT   ;21240;21617;26;47.316667;5;0.72;
 Villy-le-Moutier ;VILLY LE MOUTIER ;21250;21708;26;47.033333;5;2.04;
 Bathernay ;BATHERNAY   ;26260;26028;82;45.183333;5;1.86;
 Lapeyrouse-Mornay ;LAPEYROUSE MORNAY  ;26210;26155;82;45.316667;5;2.37;
 Manthes ;MANTHES   ;26210;26172;82;45.3;5;2.31;
 Saint-Bardoux ;SAINT BARDOUX  ;26260;26294;82;45.083333;5;1.48;
 Saint-Donat-sur-l'Herbasse ;SAINT DONAT SUR L;26260;26301;82;45.116667;5;1.6;
 Fauconnières ;FAUCONNIERES   ;26120;26903;82;44.95;5;1.25;
 Cour-et-Buis ;COUR ET BUIS ;38122;38134;82;45.433333;5;1.77;
 Saint-Just-Chaleyssin ;SAINT JUST CHALEYSSIN ;38540;38408;82;45.583333;5;1.77;
 Belval-en-Argonne ;BELVAL EN ARGONNE ;51330;51047;21;48.95;5;2.29;
 Les Charmontois ;LES CHARMONTOIS  ;51330;51132;21;48.966667;5;2.29;
 Éclaires ;ECLAIRES   ;51800;51222;21;49;5;2.29;
 Passavant-en-Argonne ;PASSAVANT EN ARGONNE ;51800;51424;21;49.016667;5;2.29;
 Arc-en-Barrois ;ARC EN BARROIS ;52210;52017;72;47.95;5;1.14;
 Blaisy ;BLAISY   ;52330;52053;72;48.183333;5;1.14;
 Blessonville ;BLESSONVILLE   ;52120;52056;72;48.066667;5;1.3;
 Charmes-en-l'Angle ;CHARMES EN L ANGLE;52110;52109;72;48.366667;5;1.16;
 Flornoy ;FLORNOY   ;52130;52202;72;48.516667;5;1.82;
 Gillancourt ;GILLANCOURT   ;52330;52221;72;48.166667;5;1.25;
 Morancourt ;MORANCOURT   ;52110;52341;72;48.433333;5;1.45;
 Poinsenot ;POINSENOT   ;52160;52393;72;47.716667;5;1.71;
 Santenoge ;SANTENOGE   ;52160;52458;72;47.733333;5;1.63;
 Valdelancourt ;VALDELANCOURT   ;52120;52501;72;48.1;5;1.38;
 Valleret ;VALLERET   ;52130;52502;72;48.483333;5;1.67;
 Futeau ;FUTEAU   ;55120;55202;41;49.083333;5;2.04;
 Les Islettes ;LES ISLETTES  ;55120;55253;41;49.1;5;2.04;
 Mognéville ;MOGNEVILLE   ;55800;55340;41;48.783333;5;2.04;
 Genas ;GENAS   ;69740;69277;82;45.733333;5;2.64;
 Baudrières ;BAUDRIERES   ;71370;71023;26;46.666667;5;1.21;
 Cuisery ;CUISERY   ;71290;71158;26;46.55;5;1.21;
 Montcoy ;MONTCOY   ;71620;71312;26;46.8;5;1.21;
 Buisson ;BUISSON   ;84110;84022;93;44.283333;5;1.78;
 Gigondas ;GIGONDAS   ;84190;84049;93;44.166667;5;1.1;
 Loriol-du-Comtat ;LORIOL DU COMTAT ;84870;84067;93;44.083333;5;0.78;
 Monteux ;MONTEUX   ;84170;84080;93;44.033333;5;0.78;
 Sablet ;SABLET   ;84110;84104;93;44.183333;5;1.33;
 Le Thor ;LE THOR  ;84250;84132;93;43.933333;5;0.78;
 Mijoux ;MIJOUX   ;1170;1247;82;46.366667;6;2.23;
 Sergy ;SERGY   ;1630;1401;82;46.25;6;2.23;
 Saint-Auban ;SAINT AUBAN  ;4600;4920;93;44.066667;6;1;
 Rabou ;RABOU   ;5400;5112;72;44.6;6;2.14;
